session,subject,age,gender,numsibling,majorum,undergrad,yrinprog,participatedbefore,numparticipate,race,race_fillin,donated_yn,donate_amount,volunteer_time,group,chat_help,attach_to_gr,OO_strategy,OO_strategy_fillin,game_strategy,game_strategy_fillin,decision_affected,affected_how,affected_how_fillin,know_kan,know_klee,contr_gamestrat,contr_gamestrat_fillin,treatment,date,random_groups,subjectID
38.0,6,20,Female,1,Business,Undergraduate,3.0,Yes,2.0,Asian,,Yes,40.0,50.0,,,,,,,,,,,,,Try to earn as much money as possible for myself.;Try to earn as much money as possible for me and my match.;Try to help my match if it did not cost me anything.;,,control,050801NP,,050801NP-6
38.0,7,24,Male,0,music performance,Graduate,2.0,Yes,4.0,white,,No,,,,,,,,,,,,,,,Try to earn as much money as possible for me and my match.;,,control,050801NP,,050801NP-7
38.0,8,22,Male,2,Economics and Biology,Undergraduate,5.0,Yes,1.0,Asian,,No,,,,,,,,,,,,,,,Try to earn as much money as possible for me and my match.;,,control,050801NP,,050801NP-8
38.0,9,25,Male,1,EE,Graduate,3.0,Yes,6.0,white,,Yes,,40.0,,,,,,,,,,,,,Try to earn as much money as possible for myself.;Try to earn as much money as possible for me and my match.;Try to help my match if it did not cost me anything.;Try to help my match even at my own expense.;,,control,050801NP,,050801NP-9
38.0,10,20,Female,3,German / Pre-dental,Undergraduate,3.0,Yes,2.0,white,,Yes,300.0,200.0,,,,,,,,,,,,,Try to earn as much money as possible for myself.;,"I figured eveyone would be selfish, but i would have liked to compromise if we could have communicated",control,050801NP,,050801NP-10
38.0,11,21,Male,5,Aerospace Engineering,Graduate,1.0,No,,"Other, please specify",African,No,,,,,,,,,,,,,,,Try to help my match if it did not cost me anything.;Reward those who were nice to me and punish those who were nasty to me.;,,control,050801NP,,050801NP-11
38.0,12,20,Male,0,"Cell Molecular Biology, Biomedical Engineering",Undergraduate,3.0,Yes,1.0,Asian,,Yes,100.0,750.0,,,,,,,,,,,,,Try to earn as much money as possible for me and my match.;,,control,050801NP,,050801NP-12
38.0,13,22,Male,2,computer engineeringq,Undergraduate,2.0,No,,Asian,,No,,,,,,,,,,,,,,,Try to earn as much money as possible for me and my match.;Try to help my match if it did not cost me anything.;,,control,050801NP,,050801NP-13
38.0,14,20,Female,4,Asian Studies,Undergraduate,3.0,Yes,10.0,black,,Yes,300.0,100.0,,,,,,,,,,,,,Try to earn as much money as possible for myself.;Try to earn as much money as possible for me and my match.;Try to choose equal payoff.;Try to help my match if it did not cost me anything.;,,control,050801NP,,050801NP-14
38.0,15,20,Female,3,Communication/Psychology,Undergraduate,3.0,Yes,5.0,Asian,,Yes,30.0,15.0,,,,,,,,,,,,,Try to earn as much money as possible for me and my match.;Try to choose equal payoff.;Try to help my match if it did not cost me anything.;,,control,050801NP,,050801NP-15
38.0,16,19,Female,2,Linguistics,Undergraduate,3.0,Yes,4.0,white,,No,,,,,,,,,,,,,,,Try to earn as much money as possible for myself.;Try to help my match if it did not cost me anything.;,,control,050801NP,,050801NP-16
