treatment,date,stage,subject,picturechoice1,picturechoice2,picturechoice3,picturechoice4,picturechoice5,mytype,r1s1_giveA,r2s1_giveA,r3s1_giveA,r4s1_giveA,r5s1_giveA,r1s1_giveB,r2s1_giveB,r3s1_giveB,r4s1_giveB,r5s1_giveB,r1s2_giveA,r2s2_giveA,r3s2_giveA,r4s2_giveA,r5s2_giveA,r1s2_giveB,r2s2_giveB,r3s2_giveB,r4s2_giveB,r5s2_giveB,r1s3_giveA,r2s3_giveA,r3s3_giveA,r4s3_giveA,r5s3_giveA,r1s3_giveB,r2s3_giveB,r3s3_giveB,r4s3_giveB,r5s3_giveB,round,myrole,actforsame,actforother,mypayoff,opponentid,opponenttype,sametype,opponentrole,game,payoffA_Aout,payoffB_Aout,payoffA_Bact1,payoffB_Bact1,payoffA_Bact2,payoffB_Bact2,paintingawards,stage2_payoff,myrole(A/B),choice,subjectID
control,050801NP,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1,2.0,,350.0,8.0,,,2.0,Resp 9,450.0,0.0,350.0,450.0,450.0,350.0,,,A,A2,050801NP-5
control,050801NP,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1,1.0,,450.0,14.0,,,2.0,Resp 9,450.0,0.0,350.0,450.0,450.0,350.0,,,A,A1,050801NP-6
control,050801NP,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2,1.0,,0.0,16.0,,,1.0,Resp 9,450.0,0.0,350.0,450.0,450.0,350.0,,,B,B1,050801NP-7
control,050801NP,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2,1.0,,450.0,5.0,,,1.0,Resp 9,450.0,0.0,350.0,450.0,450.0,350.0,,,B,B1,050801NP-8
control,050801NP,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2,1.0,,0.0,10.0,,,1.0,Resp 9,450.0,0.0,350.0,450.0,450.0,350.0,,,B,B1,050801NP-9
control,050801NP,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1,1.0,,450.0,9.0,,,2.0,Resp 9,450.0,0.0,350.0,450.0,450.0,350.0,,,A,A1,050801NP-10
control,050801NP,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1,2.0,,350.0,3.0,,,2.0,Resp 9,450.0,0.0,350.0,450.0,450.0,350.0,,,A,A2,050801NP-11
control,050801NP,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1,2.0,,350.0,13.0,,,2.0,Resp 9,450.0,0.0,350.0,450.0,450.0,350.0,,,A,A2,050801NP-12
control,050801NP,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2,1.0,,450.0,12.0,,,1.0,Resp 9,450.0,0.0,350.0,450.0,450.0,350.0,,,B,B1,050801NP-13
control,050801NP,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2,1.0,,0.0,6.0,,,1.0,Resp 9,450.0,0.0,350.0,450.0,450.0,350.0,,,B,B1,050801NP-14
control,050801NP,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1,2.0,,450.0,2.0,,,2.0,Resp 9,450.0,0.0,350.0,450.0,450.0,350.0,,,A,A2,050801NP-15
control,050801NP,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1,1.0,,450.0,7.0,,,2.0,Resp 9,450.0,0.0,350.0,450.0,450.0,350.0,,,A,A1,050801NP-16
control,050801NP,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2,1.0,,1000.0,11.0,,,1.0,Resp 12,375.0,1000.0,400.0,400.0,250.0,350.0,,,B,B1,050801NP-1
control,050801NP,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1,2.0,,400.0,3.0,,,2.0,Resp 12,375.0,1000.0,400.0,400.0,250.0,350.0,,,A,A2,050801NP-2
control,050801NP,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2,1.0,,400.0,2.0,,,1.0,Resp 12,375.0,1000.0,400.0,400.0,250.0,350.0,,,B,B1,050801NP-3
control,050801NP,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2,1.0,,400.0,14.0,,,1.0,Resp 12,375.0,1000.0,400.0,400.0,250.0,350.0,,,B,B1,050801NP-4
control,050801NP,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1,2.0,,400.0,9.0,,,2.0,Resp 12,375.0,1000.0,400.0,400.0,250.0,350.0,,,A,A2,050801NP-5
control,050801NP,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2,1.0,,400.0,8.0,,,1.0,Resp 12,375.0,1000.0,400.0,400.0,250.0,350.0,,,B,B1,050801NP-6
control,050801NP,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1,2.0,,400.0,10.0,,,2.0,Resp 12,375.0,1000.0,400.0,400.0,250.0,350.0,,,A,A2,050801NP-7
control,050801NP,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1,2.0,,400.0,6.0,,,2.0,Resp 12,375.0,1000.0,400.0,400.0,250.0,350.0,,,A,A2,050801NP-8
control,050801NP,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2,1.0,,400.0,5.0,,,1.0,Resp 12,375.0,1000.0,400.0,400.0,250.0,350.0,,,B,B1,050801NP-9
control,050801NP,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2,1.0,,400.0,7.0,,,1.0,Resp 12,375.0,1000.0,400.0,400.0,250.0,350.0,,,B,B1,050801NP-10
control,050801NP,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1,1.0,,375.0,1.0,,,2.0,Resp 12,375.0,1000.0,400.0,400.0,250.0,350.0,,,A,A1,050801NP-11
control,050801NP,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2,1.0,,400.0,16.0,,,1.0,Resp 12,375.0,1000.0,400.0,400.0,250.0,350.0,,,B,B1,050801NP-12
control,050801NP,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1,1.0,,375.0,15.0,,,2.0,Resp 12,375.0,1000.0,400.0,400.0,250.0,350.0,,,A,A1,050801NP-13
control,050801NP,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1,2.0,,400.0,4.0,,,2.0,Resp 12,375.0,1000.0,400.0,400.0,250.0,350.0,,,A,A2,050801NP-14
control,050801NP,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2,1.0,,1000.0,13.0,,,1.0,Resp 12,375.0,1000.0,400.0,400.0,250.0,350.0,,,B,B1,050801NP-15
control,050801NP,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1,2.0,,400.0,12.0,,,2.0,Resp 12,375.0,1000.0,400.0,400.0,250.0,350.0,,,A,A2,050801NP-16
control,050801NP,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2,1.0,,550.0,2.0,,,1.0,Resp 1b,550.0,550.0,400.0,400.0,750.0,400.0,,,B,B1,050801NP-1
control,050801NP,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1,1.0,,550.0,1.0,,,2.0,Resp 1b,550.0,550.0,400.0,400.0,750.0,400.0,,,A,A1,050801NP-2
control,050801NP,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1,1.0,,550.0,13.0,,,2.0,Resp 1b,550.0,550.0,400.0,400.0,750.0,400.0,,,A,A1,050801NP-3
control,050801NP,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2,2.0,,400.0,8.0,,,1.0,Resp 1b,550.0,550.0,400.0,400.0,750.0,400.0,,,B,B2,050801NP-4
control,050801NP,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1,1.0,,550.0,7.0,,,2.0,Resp 1b,550.0,550.0,400.0,400.0,750.0,400.0,,,A,A1,050801NP-5
control,050801NP,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2,2.0,,400.0,9.0,,,1.0,Resp 1b,550.0,550.0,400.0,400.0,750.0,400.0,,,B,B2,050801NP-6
control,050801NP,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2,2.0,,550.0,5.0,,,1.0,Resp 1b,550.0,550.0,400.0,400.0,750.0,400.0,,,B,B2,050801NP-7
control,050801NP,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1,2.0,,750.0,4.0,,,2.0,Resp 1b,550.0,550.0,400.0,400.0,750.0,400.0,,,A,A2,050801NP-8
control,050801NP,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1,2.0,,750.0,6.0,,,2.0,Resp 1b,550.0,550.0,400.0,400.0,750.0,400.0,,,A,A2,050801NP-9
control,050801NP,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1,1.0,,550.0,12.0,,,2.0,Resp 1b,550.0,550.0,400.0,400.0,750.0,400.0,,,A,A1,050801NP-10
control,050801NP,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2,2.0,,550.0,14.0,,,1.0,Resp 1b,550.0,550.0,400.0,400.0,750.0,400.0,,,B,B2,050801NP-11
control,050801NP,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2,2.0,,550.0,10.0,,,1.0,Resp 1b,550.0,550.0,400.0,400.0,750.0,400.0,,,B,B2,050801NP-12
control,050801NP,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2,2.0,,550.0,3.0,,,1.0,Resp 1b,550.0,550.0,400.0,400.0,750.0,400.0,,,B,B2,050801NP-13
control,050801NP,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1,1.0,,550.0,11.0,,,2.0,Resp 1b,550.0,550.0,400.0,400.0,750.0,400.0,,,A,A1,050801NP-14
control,050801NP,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2,1.0,,400.0,16.0,,,1.0,Resp 1b,550.0,550.0,400.0,400.0,750.0,400.0,,,B,B1,050801NP-15
control,050801NP,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1,2.0,,400.0,15.0,,,2.0,Resp 1b,550.0,550.0,400.0,400.0,750.0,400.0,,,A,A2,050801NP-16
control,050801NP,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1,2.0,,800.0,13.0,,,2.0,Resp 13a,750.0,750.0,800.0,200.0,0.0,0.0,,,A,A2,050801NP-1
control,050801NP,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1,1.0,,750.0,14.0,,,2.0,Resp 13a,750.0,750.0,800.0,200.0,0.0,0.0,,,A,A1,050801NP-2
control,050801NP,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2,1.0,,200.0,16.0,,,1.0,Resp 13a,750.0,750.0,800.0,200.0,0.0,0.0,,,B,B1,050801NP-3
control,050801NP,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1,1.0,,750.0,9.0,,,2.0,Resp 13a,750.0,750.0,800.0,200.0,0.0,0.0,,,A,A1,050801NP-4
control,050801NP,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1,2.0,,800.0,12.0,,,2.0,Resp 13a,750.0,750.0,800.0,200.0,0.0,0.0,,,A,A2,050801NP-5
control,050801NP,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1,2.0,,800.0,7.0,,,2.0,Resp 13a,750.0,750.0,800.0,200.0,0.0,0.0,,,A,A2,050801NP-6
control,050801NP,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2,1.0,,200.0,6.0,,,1.0,Resp 13a,750.0,750.0,800.0,200.0,0.0,0.0,,,B,B1,050801NP-7
control,050801NP,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2,1.0,,750.0,11.0,,,1.0,Resp 13a,750.0,750.0,800.0,200.0,0.0,0.0,,,B,B1,050801NP-8
control,050801NP,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2,1.0,,750.0,4.0,,,1.0,Resp 13a,750.0,750.0,800.0,200.0,0.0,0.0,,,B,B1,050801NP-9
control,050801NP,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2,1.0,,750.0,15.0,,,1.0,Resp 13a,750.0,750.0,800.0,200.0,0.0,0.0,,,B,B1,050801NP-10
control,050801NP,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1,1.0,,750.0,8.0,,,2.0,Resp 13a,750.0,750.0,800.0,200.0,0.0,0.0,,,A,A1,050801NP-11
control,050801NP,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2,1.0,,200.0,5.0,,,1.0,Resp 13a,750.0,750.0,800.0,200.0,0.0,0.0,,,B,B1,050801NP-12
control,050801NP,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2,1.0,,200.0,1.0,,,1.0,Resp 13a,750.0,750.0,800.0,200.0,0.0,0.0,,,B,B1,050801NP-13
control,050801NP,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2,1.0,,750.0,2.0,,,1.0,Resp 13a,750.0,750.0,800.0,200.0,0.0,0.0,,,B,B1,050801NP-14
control,050801NP,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1,1.0,,750.0,10.0,,,2.0,Resp 13a,750.0,750.0,800.0,200.0,0.0,0.0,,,A,A1,050801NP-15
control,050801NP,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1,2.0,,800.0,3.0,,,2.0,Resp 13a,750.0,750.0,800.0,200.0,0.0,0.0,,,A,A2,050801NP-16
control,050801NP,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2,1.0,,200.0,16.0,,,1.0,Resp 13b,750.0,750.0,800.0,200.0,0.0,50.0,,,B,B1,050801NP-1
control,050801NP,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2,1.0,,200.0,8.0,,,1.0,Resp 13b,750.0,750.0,800.0,200.0,0.0,50.0,,,B,B1,050801NP-2
control,050801NP,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2,1.0,,750.0,10.0,,,1.0,Resp 13b,750.0,750.0,800.0,200.0,0.0,50.0,,,B,B1,050801NP-3
control,050801NP,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2,1.0,,200.0,7.0,,,1.0,Resp 13b,750.0,750.0,800.0,200.0,0.0,50.0,,,B,B1,050801NP-4
control,050801NP,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1,1.0,,750.0,15.0,,,2.0,Resp 13b,750.0,750.0,800.0,200.0,0.0,50.0,,,A,A1,050801NP-5
control,050801NP,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2,1.0,,750.0,12.0,,,1.0,Resp 13b,750.0,750.0,800.0,200.0,0.0,50.0,,,B,B1,050801NP-6
control,050801NP,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1,2.0,,800.0,4.0,,,2.0,Resp 13b,750.0,750.0,800.0,200.0,0.0,50.0,,,A,A2,050801NP-7
control,050801NP,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1,2.0,,800.0,2.0,,,2.0,Resp 13b,750.0,750.0,800.0,200.0,0.0,50.0,,,A,A2,050801NP-8
control,050801NP,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2,1.0,,750.0,11.0,,,1.0,Resp 13b,750.0,750.0,800.0,200.0,0.0,50.0,,,B,B1,050801NP-9
control,050801NP,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1,1.0,,750.0,3.0,,,2.0,Resp 13b,750.0,750.0,800.0,200.0,0.0,50.0,,,A,A1,050801NP-10
control,050801NP,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1,1.0,,750.0,9.0,,,2.0,Resp 13b,750.0,750.0,800.0,200.0,0.0,50.0,,,A,A1,050801NP-11
control,050801NP,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1,1.0,,750.0,6.0,,,2.0,Resp 13b,750.0,750.0,800.0,200.0,0.0,50.0,,,A,A1,050801NP-12
control,050801NP,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2,1.0,,200.0,14.0,,,1.0,Resp 13b,750.0,750.0,800.0,200.0,0.0,50.0,,,B,B1,050801NP-13
control,050801NP,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1,2.0,,800.0,13.0,,,2.0,Resp 13b,750.0,750.0,800.0,200.0,0.0,50.0,,,A,A2,050801NP-14
control,050801NP,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2,1.0,,750.0,5.0,,,1.0,Resp 13b,750.0,750.0,800.0,200.0,0.0,50.0,,,B,B1,050801NP-15
control,050801NP,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1,2.0,,800.0,1.0,,,2.0,Resp 13b,750.0,750.0,800.0,200.0,0.0,50.0,,,A,A2,050801NP-16
control,050801NP,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1,1.0,,750.0,8.0,,,2.0,Resp 13c,750.0,750.0,800.0,200.0,0.0,100.0,,,A,A1,050801NP-1
control,050801NP,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1,2.0,,800.0,16.0,,,2.0,Resp 13c,750.0,750.0,800.0,200.0,0.0,100.0,,,A,A2,050801NP-2
control,050801NP,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2,1.0,,200.0,12.0,,,1.0,Resp 13c,750.0,750.0,800.0,200.0,0.0,100.0,,,B,B1,050801NP-3
control,050801NP,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2,1.0,,750.0,5.0,,,1.0,Resp 13c,750.0,750.0,800.0,200.0,0.0,100.0,,,B,B1,050801NP-4
control,050801NP,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1,1.0,,750.0,4.0,,,2.0,Resp 13c,750.0,750.0,800.0,200.0,0.0,100.0,,,A,A1,050801NP-5
control,050801NP,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1,1.0,,750.0,11.0,,,2.0,Resp 13c,750.0,750.0,800.0,200.0,0.0,100.0,,,A,A1,050801NP-6
control,050801NP,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1,2.0,,800.0,15.0,,,2.0,Resp 13c,750.0,750.0,800.0,200.0,0.0,100.0,,,A,A2,050801NP-7
control,050801NP,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2,1.0,,750.0,1.0,,,1.0,Resp 13c,750.0,750.0,800.0,200.0,0.0,100.0,,,B,B1,050801NP-8
control,050801NP,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1,1.0,,750.0,14.0,,,2.0,Resp 13c,750.0,750.0,800.0,200.0,0.0,100.0,,,A,A1,050801NP-9
control,050801NP,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2,1.0,,200.0,13.0,,,1.0,Resp 13c,750.0,750.0,800.0,200.0,0.0,100.0,,,B,B1,050801NP-10
control,050801NP,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2,2.0,,750.0,6.0,,,1.0,Resp 13c,750.0,750.0,800.0,200.0,0.0,100.0,,,B,B2,050801NP-11
control,050801NP,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1,2.0,,800.0,3.0,,,2.0,Resp 13c,750.0,750.0,800.0,200.0,0.0,100.0,,,A,A2,050801NP-12
control,050801NP,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1,2.0,,800.0,10.0,,,2.0,Resp 13c,750.0,750.0,800.0,200.0,0.0,100.0,,,A,A2,050801NP-13
control,050801NP,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2,1.0,,750.0,9.0,,,1.0,Resp 13c,750.0,750.0,800.0,200.0,0.0,100.0,,,B,B1,050801NP-14
control,050801NP,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2,1.0,,200.0,7.0,,,1.0,Resp 13c,750.0,750.0,800.0,200.0,0.0,100.0,,,B,B1,050801NP-15
control,050801NP,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2,1.0,,200.0,2.0,,,1.0,Resp 13c,750.0,750.0,800.0,200.0,0.0,100.0,,,B,B1,050801NP-16
control,050801NP,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1,1.0,,750.0,7.0,,,2.0,Resp 13d,750.0,750.0,800.0,200.0,0.0,150.0,,,A,A1,050801NP-1
control,050801NP,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2,1.0,,750.0,5.0,,,1.0,Resp 13d,750.0,750.0,800.0,200.0,0.0,150.0,,,B,B1,050801NP-2
control,050801NP,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2,1.0,,750.0,9.0,,,1.0,Resp 13d,750.0,750.0,800.0,200.0,0.0,150.0,,,B,B1,050801NP-3
control,050801NP,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1,1.0,,750.0,16.0,,,2.0,Resp 13d,750.0,750.0,800.0,200.0,0.0,150.0,,,A,A1,050801NP-4
control,050801NP,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1,1.0,,750.0,2.0,,,2.0,Resp 13d,750.0,750.0,800.0,200.0,0.0,150.0,,,A,A1,050801NP-5
control,050801NP,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1,1.0,,750.0,13.0,,,2.0,Resp 13d,750.0,750.0,800.0,200.0,0.0,150.0,,,A,A1,050801NP-6
control,050801NP,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2,1.0,,750.0,1.0,,,1.0,Resp 13d,750.0,750.0,800.0,200.0,0.0,150.0,,,B,B1,050801NP-7
control,050801NP,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2,1.0,,750.0,15.0,,,1.0,Resp 13d,750.0,750.0,800.0,200.0,0.0,150.0,,,B,B1,050801NP-8
control,050801NP,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1,1.0,,750.0,3.0,,,2.0,Resp 13d,750.0,750.0,800.0,200.0,0.0,150.0,,,A,A1,050801NP-9
control,050801NP,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2,1.0,,750.0,11.0,,,1.0,Resp 13d,750.0,750.0,800.0,200.0,0.0,150.0,,,B,B1,050801NP-10
control,050801NP,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1,1.0,,750.0,10.0,,,2.0,Resp 13d,750.0,750.0,800.0,200.0,0.0,150.0,,,A,A1,050801NP-11
control,050801NP,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2,1.0,,200.0,14.0,,,1.0,Resp 13d,750.0,750.0,800.0,200.0,0.0,150.0,,,B,B1,050801NP-12
control,050801NP,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2,1.0,,750.0,6.0,,,1.0,Resp 13d,750.0,750.0,800.0,200.0,0.0,150.0,,,B,B1,050801NP-13
control,050801NP,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1,2.0,,800.0,12.0,,,2.0,Resp 13d,750.0,750.0,800.0,200.0,0.0,150.0,,,A,A2,050801NP-14
control,050801NP,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1,1.0,,750.0,8.0,,,2.0,Resp 13d,750.0,750.0,800.0,200.0,0.0,150.0,,,A,A1,050801NP-15
control,050801NP,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2,1.0,,750.0,4.0,,,1.0,Resp 13d,750.0,750.0,800.0,200.0,0.0,150.0,,,B,B1,050801NP-16
